sepalLength	sepalWidth	pozivatelj	vrijeme	zapis	trajanje
9	1	Josip	9:11	dolazni poziv	0 min 20 sec
7	1	Miroslav	7:23	dolazni poziv	3 min 40 sec
19	1	Jelena	19:04	dolazni poziv	10 min 39 sec
17	1	Matea	17:10	dolazni poziv	30 min 22 sec
21	2	Matea	20:50	odbijeni poziv	0 min 0 sec
14	3	Dino	13:48	odbijeni poziv	0 min 0 sec
1	1	Željko	1:03	odlazni poziv	3 min 40 sec
11	1	Branko	10:49	odlazni poziv	13 min 23 sec
11	3	Matea	10:50	odbijeni poziv	0 min 0 sec
24	5	Dino	23:48	odbijeni poziv	0 min 0 sec
24	10	Dino	23:48	odbijeni poziv	0 min 0 sec
17	10	Matea	16:50	odbijeni poziv	0 min 0 sec
24	14	Dino	23:48	odbijeni poziv	0 min 0 sec
21	15	Mladen	20:50	odbijeni poziv	0 min 0 sec
10.5	17	Josip	10:30	odbijeni poziv	0 min 0 sec
14	19	Ivan	13:48	odbijeni poziv	0 min 0 sec
21	20	Matea	20:50	odbijeni poziv	0 min 0 sec
24	21	Dino	23:48	odbijeni poziv	0 min 0 sec
21	21	Matea	20:50	odbijeni poziv	0 min 0 sec
4	23	Lorna	3:48	odbijeni poziv	0 min 0 sec
1	2	Željko	1:03	odlazni poziv	3 min 40 sec
11	2	Branko	10:49	odlazni poziv	13 min 23 sec
1	3	Željko	1:03	odlazni poziv	3 min 40 sec
11	3	Branko	10:49	odlazni poziv	13 min 23 sec
8	3	Marijan	8:02	odlazni poziv	9 min 13 sec
2	4	Lovro	2:11	odlazni poziv	3 min 40 sec
18	4	Marta	18:13	odlazni poziv	2 min 43 sec
12	5	Ivan	12:08	odlazni poziv	13 min 23 sec
1	8	Željko	1:03	odlazni poziv	3 min 40 sec
11	9	Branko	10:49	odlazni poziv	13 min 23 sec
8	10	Marijan	8:02	odlazni poziv	9 min 13 sec
8	11	Marijan	8:02	odlazni poziv	9 min 13 sec
2	11	Lovro	2:11	odlazni poziv	3 min 40 sec
18	12	Marta	18:13	odlazni poziv	2 min 43 sec
12	12	Ivan	12:08	odlazni poziv	13 min 23 sec
1	12	Željko	1:03	odlazni poziv	3 min 40 sec
11	12	Branko	10:49	odlazni poziv	13 min 23 sec
8	12	Marijan	8:02	odlazni poziv	9 min 13 sec
2	12	Lovro	2:11	odlazni poziv	3 min 40 sec
